municip_code,municip_name,county_code,county_name
municip0301,Oslo,county03,Oslo
municip1101,Eigersund,county11,Rogaland
municip1103,Stavanger,county11,Rogaland
municip1106,Haugesund,county11,Rogaland
municip1108,Sandnes,county11,Rogaland
municip1111,Sokndal,county11,Rogaland
municip1112,Lund,county11,Rogaland
municip1114,Bjerkreim,county11,Rogaland
municip1119,Hå,county11,Rogaland
municip1120,Klepp,county11,Rogaland
municip1121,Time,county11,Rogaland
municip1122,Gjesdal,county11,Rogaland
municip1124,Sola,county11,Rogaland
municip1127,Randaberg,county11,Rogaland
municip1130,Strand,county11,Rogaland
municip1133,Hjelmeland,county11,Rogaland
municip1134,Suldal,county11,Rogaland
municip1135,Sauda,county11,Rogaland
municip1144,Kvitsøy,county11,Rogaland
municip1145,Bokn,county11,Rogaland
municip1146,Tysvær,county11,Rogaland
municip1149,Karmøy,county11,Rogaland
municip1151,Utsira,county11,Rogaland
municip1160,Vindafjord,county11,Rogaland
municip1505,Kristiansund,county15,Møre og Romsdal
municip1506,Molde,county15,Møre og Romsdal
municip1507,Ålesund,county15,Møre og Romsdal
municip1511,Vanylven,county15,Møre og Romsdal
municip1514,Sande,county15,Møre og Romsdal
municip1515,Herøy,county15,Møre og Romsdal
municip1516,Ulstein,county15,Møre og Romsdal
municip1517,Hareid,county15,Møre og Romsdal
municip1520,Ørsta,county15,Møre og Romsdal
municip1525,Stranda,county15,Møre og Romsdal
municip1528,Sykkylven,county15,Møre og Romsdal
municip1531,Sula,county15,Møre og Romsdal
municip1532,Giske,county15,Møre og Romsdal
municip1535,Vestnes,county15,Møre og Romsdal
municip1539,Rauma,county15,Møre og Romsdal
municip1547,Aukra,county15,Møre og Romsdal
municip1554,Averøy,county15,Møre og Romsdal
municip1557,Gjemnes,county15,Møre og Romsdal
municip1560,Tingvoll,county15,Møre og Romsdal
municip1563,Sunndal,county15,Møre og Romsdal
municip1566,Surnadal,county15,Møre og Romsdal
municip1573,Smøla,county15,Møre og Romsdal
municip1576,Aure,county15,Møre og Romsdal
